,age,comment,commodities,commodities_string,geometry,id,latitude,longitude,name
0,Late Ordovician,Late Ordovician-Silurian,"['Au', 'Cu']",Au;Cu,POINT (147.0912532 -36.11538783),333286,-36.11538783,147.09125319999998,Bethanga
1,Late Palaeozoic,nan,"['Ag', 'Zn', 'Pb']",Ag;Zn;Pb,POINT (125.9680199 -18.71084053),333287,-18.71084053,125.9680199,Cadjebut
2,Tertiary,nan,['U'],U,POINT (140.6623645 -31.74095042),333288,-31.74095042,140.6623645,Honeymoon
3,Precambrian,nan,['Fe'],Fe,POINT (118.1385991 -22.63545578),333289,-22.63545578,118.1385991,Marandoo
4,Neoproterozoic,coincides with NNW trending transcontinental gravity lineament extending to the Olympic Dam deposit,"['Ag', 'Cu', 'Co']",Ag;Cu;Co,POINT (137.1499808 -31.44709128),333290,-31.44709128,137.1499808,Mount Gunson
5,Early Devonian,nan,"['Au', 'Cu']",Au;Cu,POINT (145.864 -31.5403),333291,-31.5403,145.864,New Occidental
6,Cainozoic,age of alluvial deposits; vein mineralisation is Palaeozoic,['Au'],Au,POINT (143.4665044 -15.87711519),333292,-15.87711519,143.4665044,Palmer River
7,Carboniferous,nan,['U'],U,POINT (133.9200055 -23.87711034),333293,-23.87711034,133.9200055,Pamela
8,Archaean,nan,['Au'],Au,POINT (122.2123 -31.0452),333294,-31.0452,122.2123,Randalls
9,Tertiary,nan,['Fe'],Fe,POINT (116.5000414 -21.71437279),333295,-21.71437279,116.50004140000001,Robe River
10,Archaean,2950 Ma,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (117.8305834 -20.84373003),333296,-20.84373003,117.83058340000001,Whim Creek
11,Archaean,2900 Ma,"['Ni', 'Cu', 'PGE', 'Co']",Ni;Cu;PGE;Co,POINT (116.886143 -20.91675888),333298,-20.91675888,116.88614299999999,Mount Sholl
12,Proterozoic,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (144.9854956 -18.91656851),333299,-18.91656851,144.9854956,Halls Reward
13,Devonian,nan,"['Ag', 'Au', 'Cu']",Ag;Au;Cu,POINT (144.2461003 -16.6016042),333300,-16.601604199999997,144.2461003,O.K.
14,Ordovician,450 Ma,"['Ag', 'Zn', 'Cu', 'Pb', 'Au']",Ag;Zn;Cu;Pb;Au,POINT (146.0678 -20.4095),333301,-20.4095,146.0678,Liontown
15,unknown,nan,['Cu'],Cu,POINT (138.6757792 -31.08606055),333302,-31.08606055,138.6757792,Blinman
16,Palaeozoic,nan,['Au'],Au,POINT (150.2585344 -23.04091238),333303,-23.04091238,150.2585344,Canoona
17,Palaeoproterozoic,nan,['Au'],Au,POINT (131.3731 -13.2113),333304,-13.2113,131.3731,Goodall
18,Proterozoic,nan,['Cu'],Cu,POINT (140.0680181 -20.47303325),333312,-20.47303325,140.0680181,Copper Blonde
19,Proterozoic,nan,['Cu'],Cu,POINT (140.014198 -20.90055967),333313,-20.90055967,140.014198,Even Steven
20,Proterozoic,nan,['Cu'],Cu,POINT (140.0061969 -20.87855977),333314,-20.87855977,140.0061969,Springs
21,Proterozoic,nan,"['Au', 'Cu']",Au;Cu,POINT (139.9061887 -20.17456404),333315,-20.17456404,139.9061887,Western
22,Late Carboniferous,nan,['Au'],Au,POINT (146.8829782 -20.09694172),333318,-20.09694172,146.8829782,Nolans
23,Archean,nan,['Au'],Au,POINT (120.2467 -26.615),333319,-26.615,120.2467,Bulletin
24,Archaean,Resources are agglomerated by Barrick Gold corporation with those of the Granny Smith Project - See Granny Smith for the project figures.,['Au'],Au,POINT (122.3055 -28.8518),333320,-28.8518,122.3055,Wallaby
25,,B4upd<10km(.8):-37 Km West South West Of Railway At Mundubbera;,"['V', 'Ti', 'Fe']",V;Ti;Fe,POINT (150.8528369 -25.78808259),333321,-25.78808259,150.8528369,Hawkwood
26,,nan,['Fe'],Fe,POINT (120.3363586 -20.58846427),333322,-20.58846427,120.33635859999998,Kennedy Gap
27,Archean,nan,['Au'],Au,POINT (120.6619 -30.495),333323,-30.495,120.6619,Iguana (South Ida Shear)
28,,B4upd<500m(19):-Deposit Located 130 Km Southeast Of Nullagine;,['Mn'],Mn,POINT (120.8942814 -22.77389419),333324,-22.77389419,120.8942814,Nicholas Downs
